# run_id: rest-api_accounts_staking_payouts_20260322_212005_496360 | service: rest-api | endpoint: accounts_staking_payouts | process: polkadot-rest-a (PID 131479)
timestamp,elapsed_s,rss_kb,vsz_kb,rss_mb,cpu_pct
2026-03-22T21:20:06Z,0,28404,1263920,27.7,0.0
2026-03-22T21:20:07Z,1,28412,1263920,27.7,0.0
2026-03-22T21:20:08Z,2,28412,1263920,27.7,0.0
2026-03-22T21:20:09Z,3,28412,1263920,27.7,0.0
2026-03-22T21:20:10Z,4,28412,1263920,27.7,0.0
2026-03-22T21:20:11Z,5,28412,1263920,27.7,0.0
2026-03-22T21:20:13Z,6,28412,1263920,27.7,0.0
2026-03-22T21:20:14Z,7,28436,1263920,27.8,0.0
2026-03-22T21:20:15Z,8,28436,1263920,27.8,0.0
2026-03-22T21:20:16Z,9,28436,1263920,27.8,0.0
2026-03-22T21:20:17Z,10,28436,1263920,27.8,0.0
2026-03-22T21:20:18Z,11,28436,1263920,27.8,0.0
2026-03-22T21:20:19Z,12,28436,1263920,27.8,0.0
2026-03-22T21:20:20Z,13,28436,1263920,27.8,0.0
2026-03-22T21:20:21Z,14,28436,1263920,27.8,0.0
2026-03-22T21:20:22Z,15,28436,1263920,27.8,0.0
2026-03-22T21:20:23Z,16,28436,1263920,27.8,0.0
2026-03-22T21:20:24Z,17,28436,1263920,27.8,0.0
2026-03-22T21:20:25Z,18,28436,1263920,27.8,0.0
2026-03-22T21:20:26Z,19,28436,1263920,27.8,0.0
2026-03-22T21:20:28Z,20,28436,1263920,27.8,0.0
2026-03-22T21:20:29Z,21,28436,1263920,27.8,0.0
2026-03-22T21:20:30Z,22,28436,1263920,27.8,0.0
2026-03-22T21:20:31Z,23,28436,1263920,27.8,0.0
2026-03-22T21:20:32Z,24,28436,1263920,27.8,0.0
2026-03-22T21:20:33Z,25,28436,1263920,27.8,0.0
2026-03-22T21:20:34Z,26,28436,1263920,27.8,0.0
2026-03-22T21:20:35Z,27,28436,1263920,27.8,0.0
2026-03-22T21:20:36Z,28,28436,1263920,27.8,0.0
2026-03-22T21:20:37Z,29,28436,1263920,27.8,0.0
2026-03-22T21:20:38Z,30,28436,1263920,27.8,0.0
2026-03-22T21:20:39Z,31,28440,1263920,27.8,0.0
2026-03-22T21:20:40Z,32,28440,1263920,27.8,0.0
2026-03-22T21:20:41Z,33,28440,1263920,27.8,0.0
2026-03-22T21:20:43Z,34,28440,1263920,27.8,0.0
2026-03-22T21:20:44Z,35,28440,1263920,27.8,0.0
2026-03-22T21:20:45Z,36,28440,1263920,27.8,0.0
2026-03-22T21:20:46Z,37,28440,1263920,27.8,0.0
2026-03-22T21:20:47Z,38,28440,1263920,27.8,0.9
2026-03-22T21:20:48Z,39,28444,1263920,27.8,0.0
2026-03-22T21:20:49Z,40,28444,1263920,27.8,0.0
2026-03-22T21:20:50Z,41,28444,1263920,27.8,0.0
2026-03-22T21:20:51Z,42,28444,1263920,27.8,0.0
2026-03-22T21:20:52Z,43,28444,1263920,27.8,0.0
2026-03-22T21:20:53Z,44,28444,1263920,27.8,0.0
2026-03-22T21:20:54Z,45,28444,1263920,27.8,0.0
2026-03-22T21:20:55Z,46,28444,1263920,27.8,0.9
2026-03-22T21:20:56Z,47,28444,1263920,27.8,0.0
2026-03-22T21:20:58Z,48,28444,1263920,27.8,0.0
2026-03-22T21:20:59Z,49,28444,1263920,27.8,0.0
2026-03-22T21:21:00Z,50,28448,1263920,27.8,0.0
2026-03-22T21:21:01Z,51,28448,1263920,27.8,0.0
2026-03-22T21:21:02Z,52,28448,1263920,27.8,0.0
2026-03-22T21:21:03Z,53,28448,1263920,27.8,0.0
2026-03-22T21:21:04Z,54,28448,1263920,27.8,0.0
2026-03-22T21:21:05Z,55,28448,1263920,27.8,0.0
2026-03-22T21:21:06Z,56,41344,1269552,40.4,6.5
2026-03-22T21:21:07Z,57,67516,1308464,65.9,14.0
2026-03-22T21:21:08Z,58,85460,1338672,83.5,14.9
2026-03-22T21:21:09Z,59,168328,1420592,164.4,60.6
2026-03-22T21:21:10Z,60,223908,1489200,218.7,43.8
2026-03-22T21:21:11Z,61,260632,1524528,254.5,50.3
2026-03-22T21:21:13Z,62,261200,1524528,255.1,40.1
2026-03-22T21:21:14Z,63,253100,1524528,247.2,44.7
2026-03-22T21:21:15Z,64,236684,1529648,231.1,133.4
2026-03-22T21:21:16Z,65,266828,1564464,260.6,108.8
2026-03-22T21:21:17Z,66,333876,1621808,326.1,138.4
